bins	THOC_M06	THOC_M07	THOC_M08	THOC_M09	THOC_M10
M_sp_044	0.031729379186444404	0.035513004029326514	0.035573750892623456	0.04233849573964153	0.04275493487483884
M_sp_045	0.02098179831666174	0.022038779993140696	0.024002160377717994	0.02848853070712417	0.02832238837773751
M_suomiense	0.019813193755076258	0.023789910657882864	0.024892699214872305	0.02890695785578919	0.03023012363505099
M_symbioticum	0.029752433970795803	0.03703431993813933	0.04006007761533121	0.046640751026117575	0.04563507108926783
M_tardum	0.037109809332755664	0.061697255221777644	0.0888713970007318	0.12022776671387535	0.08503227544626767
M_tarhaniae	0.021006840157926733	0.024048249231664636	0.022340920990241344	0.02708242833137622	0.02856698299811358
M_terrae	0.03143215427259017	0.03535527111322274	0.034377453266440594	0.04227528769036699	0.04358915943039271
M_terricola	0.02255755318334169	0.025995636127902427	0.026120488746562268	0.030558408734958468	0.0314368224792631
M_thiocyanatum	0.02969962200356745	0.03514670976921342	0.03417047401460455	0.040949243092448157	0.040391882574055
M_thuringiense	0.04854011745673541	0.04911533598879811	0.12279853586916625	0.1057350647099607	0.07418789679033157
M_trifolii	0.05219961341653787	0.06756804914800568	0.15373820010148784	0.09231210223157046	0.09036020437017497
M_variabile	0.027195842051612944	0.030924823081355874	0.029817506528551	0.03796728533158647	0.0370977679792791
M_zatmanii	0.026678064614560276	0.030477423441415172	0.03082132925866983	0.037538390439765465	0.03611628298568885
