bins	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
M_sp_041	0.07682799520514816	0.05082828962587538	0.02865925006834767	0.06323282370507455	0.0804991693129482
M_sp_042	0.06394576577533706	0.05314841051413448	0.02503612544286868	0.05153569274445107	0.06493165920175042
M_sp_043	0.0756904421388311	0.05496422437437935	0.032566495526308185	0.05624231286022661	0.07053422172863531
M_sp_044	0.16921116320549565	0.13682959535480368	0.07930477153686333	0.13782364668590316	0.1502135510742178
M_sp_045	0.05563091296924165	0.04729676540663533	0.02431216086691485	0.04696263472197993	0.057754502028584655
M_suomiense	0.0584586228679722	0.03181860842884216	0.01943940077610324	0.04248064254128689	0.0626212435700749
M_symbioticum	0.09550357111780651	0.05925681996240132	0.03474135652307792	0.0663898442446207	0.0955381136082773
M_tardum	0.10204094412506781	0.04670280739950558	0.03347864869096032	0.07125894264691426	0.1111374864836329
M_tarhaniae	0.08905625944038796	0.08796483461133166	0.04511292918180192	0.06839675928464227	0.11280687474130249
M_terrae	0.10331912852511771	0.08634962391496458	0.045096615088641316	0.0845168239515719	0.09939503808556702
M_terricola	0.07013732390922567	0.057135250949318095	0.029562890092989163	0.05548587546008444	0.07187713181400948
M_thiocyanatum	0.08656048207923513	0.04965483825688404	0.0313164804153601	0.06562133644452203	0.08589883017549847
M_thuringiense	0.22047650525428567	0.09884412512405008	0.049331786389157	0.11660134211993094	0.21092571099389607
M_trifolii	0.24161485751029405	0.107725665190832	0.06534015858443827	0.1514549173183968	0.23527109262121407
M_variabile	0.0923726282056623	0.07388315986922	0.036935774956998776	0.07251441444234721	0.09583662908091634
M_zatmanii	0.07406647315615465	0.038112402617078905	0.02782840353441826	0.05728433218717349	0.07503589022711478
