gene_cluster_id;focal;reference
GC_00027743;broadleaf;conifer
GC_00025221;broadleaf;conifer
GC_00007518;broadleaf;conifer
GC_00029606;broadleaf;conifer
GC_00020091;broadleaf;conifer
GC_00027962;broadleaf;conifer
GC_00060854;broadleaf;conifer
GC_00055511;broadleaf;conifer
GC_00009255;broadleaf;conifer
GC_00022541;broadleaf;conifer
GC_00024380;broadleaf;conifer
GC_00014772;broadleaf;conifer
GC_00008723;broadleaf;conifer
GC_00016996;broadleaf;conifer
GC_00027862;broadleaf;conifer
GC_00067155;broadleaf;conifer
GC_00004149;broadleaf;conifer
GC_00026874;broadleaf;conifer
GC_00017407;broadleaf;conifer
GC_00017174;broadleaf;conifer
GC_00002966;broadleaf;conifer
GC_00066602;broadleaf;conifer
GC_00007948;broadleaf;conifer
GC_00012182;broadleaf;conifer
GC_00060800;broadleaf;conifer
GC_00028377;broadleaf;conifer
GC_00045118;broadleaf;conifer
GC_00004482;broadleaf;conifer
GC_00069799;broadleaf;conifer
GC_00046308;broadleaf;conifer
GC_00004396;broadleaf;conifer
GC_00033649;broadleaf;conifer
GC_00004352;broadleaf;conifer
GC_00026436;broadleaf;conifer
GC_00040404;broadleaf;conifer
GC_00008026;broadleaf;conifer
GC_00004362;broadleaf;conifer
GC_00050814;broadleaf;conifer
GC_00005365;broadleaf;conifer
GC_00008625;broadleaf;conifer
GC_00036793;broadleaf;conifer
GC_00004586;broadleaf;conifer
GC_00003814;broadleaf;conifer
GC_00004334;broadleaf;conifer
GC_00002980;broadleaf;conifer
GC_00015350;broadleaf;conifer
GC_00003622;broadleaf;conifer
GC_00002596;broadleaf;conifer
GC_00030461;broadleaf;conifer
GC_00003473;broadleaf;conifer
GC_00037631;broadleaf;conifer
GC_00003255;broadleaf;conifer
GC_00007253;broadleaf;conifer
GC_00002655;broadleaf;conifer
GC_00005980;broadleaf;conifer
GC_00025758;broadleaf;conifer
GC_00003370;broadleaf;conifer
GC_00007249;broadleaf;conifer
GC_00005040;broadleaf;conifer
GC_00005839;broadleaf;conifer
GC_00003893;broadleaf;conifer
GC_00012253;broadleaf;conifer
GC_00002418;broadleaf;conifer
GC_00025943;broadleaf;conifer
GC_00039384;broadleaf;conifer
GC_00002646;broadleaf;conifer
GC_00025572;broadleaf;conifer
