short.name;strain;group;species
st278;PNL1-SR18=b;B;Meth_sp_048
st294;CKPL3.3-SR18;A;Meth_sp_049
st295;CKPL3.1-SR18;A;Meth_sp_049
st288;APL3.1-SR18;A;Meth_sp_049
st214;SyP6R;C;Meth_sp_050
st226;FF17;D;Meth_sp_051
st275;HYV4-SR18;A;Meth_sp_052
st304;RASL1-SR18;A;Meth_sp_053
st308;MANGS3-SR20=a;D;Meth_sp_054
st155;DSM14458T;B;Meth_suomiense
st256;CONTL1-SR18;B;Meth_suomiense
st298;CONTS2-SR18=b;B;Meth_suomiense
st293;PYAL1-SR18_SR20;B;Meth_suomiense
st94;L1A1;B;Meth_suomiense
st180;SB0023/3;A;Meth_symbioticum
st144;NBRC103632T;A;Meth_tardum
st145;DSM25844T;C;Meth_tarhaniae
st9;17Sr1-28;C;Meth_terrae
st10;17Sr1-39;C;Meth_terricola
st27;BJ001;B;Meth_thiocyanatum
st207;YC-XJ1;B;Meth_thiocyanatum
st50;DSM11490_(JCM10893T);B;Meth_thiocyanatum
st171;PinkelPinkel_01;B;Meth_thiocyanatum
st292;MANGS3-SR18;B;Meth_thiocyanatum
st40;CD11_7;B;Meth_thiocyanatum
st146;DSM23674;B;Meth_thuringiense
st203;WL9;B;Meth_thuringiense
st147;DSM23632;A;Meth_trifolii
st148;DSM16961T;C;Meth_variabile
st300;APS3.4-SR18=a;B;Meth_zatmanii
st306;MANL2.2-SR18=a;B;Meth_zatmanii
st156;LMG6087;B;Meth_zatmanii
st53;DSM21344_(NBRC106136);M;Micr_aerophila
st157;NBRC106136_(DSM21344);M;Micr_aerophila
st25;ATCCBAA-817;M;Micr_flocculans
st52;DSM15743;M;Micr_flocculans
st42;CGMCC1.7666;M;Micr_guangxiensis
st205;WSM3557;M;Micr_lotononidis
st24;AT3.9;M;Micr_lupini
st92;KCTC23863;M;Micr_makkahensis
st192;V5/3m;M;Micr_ossetica
st6;17mud1-3;M;Micr_sp_001
st32;BSC39;M;Micr_sp_002
st35;c23x22;M;Micr_sp_003
st38;CCBAU65841;M;Micr_sp_004
st74;HR1;M;Micr_sp_005
st93;KLBC81;M;Micr_sp_006
st124;Marseille-Q2068;M;Micr_sp_007
st183;SYSUG3D203;M;Micr_sp_008
st184;SYSUG3D207;M;Micr_sp_008
st51;DSM14364;M;Micr_subterranea
st121;Lmie10;M;Micr_tunisiensis
st122;M8;M;Micr_tunisiensis
st31;BR3299;M;Micr_vignae
