bins	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
M_sp_039	0.017284204818822303	0.016839110635245833	0.009610534010068669	0.017316462994039102	0.010516508292753236
M_sp_040	0.027499077547780883	0.026354629567120768	0.014653149035774	0.025079270167948812	0.016456440431018255
M_sp_041	0.02933995078967845	0.029094488023385417	0.017071186725831213	0.029239343021177262	0.019214401379571408
M_sp_042	0.022454862528317035	0.022820655751594126	0.016462846772311874	0.019988851375658208	0.01587139140614546
M_sp_043	0.024958185475063902	0.028123754792258655	0.01987609480842658	0.024359339422977133	0.01982045928954971
M_sp_044	0.03176854152597413	0.03268103696188134	0.02548860834752376	0.03104785107971087	0.024279228773333418
M_sp_045	0.02027846245559154	0.02136854073895625	0.015420117910947448	0.020689466932336163	0.015393218676665798
M_suomiense	0.02055049183286707	0.020153415756700658	0.012195289233823662	0.021271004421983576	0.01290894323617002
M_symbioticum	0.030224185697796963	0.030397885078450107	0.017385399942001514	0.027981884602092714	0.018914974317658335
M_tardum	0.0644061354294473	0.06173861439488544	0.018523375578427696	0.035013161391794424	0.03220525217809202
M_tarhaniae	0.02045163840248904	0.02170091766445329	0.015753059032135426	0.020594882262885472	0.015426655829738931
M_terrae	0.0318394431533441	0.032386443478850675	0.024128215188727282	0.029639596397813817	0.02324937989862239
M_terricola	0.023457050889698745	0.02336369720229795	0.01663702422483734	0.021207163517429767	0.01686539147646541
M_thiocyanatum	0.029622514766206923	0.029382473610432693	0.015476841584976022	0.030170984871423254	0.019503685845624473
M_thuringiense	0.09376741799100043	0.12877057022254246	0.027004470900909475	0.046507735287320384	0.02985188760042959
M_trifolii	0.08618041594521206	0.06464775584039294	0.02887271022896742	0.05866810763909064	0.04236168407841679
M_variabile	0.02546281720617218	0.026575733855025534	0.020311958130950186	0.024863060578151186	0.019296974869090926
M_zatmanii	0.027621635707106428	0.026087850480629116	0.014939361284151652	0.025875874881547304	0.01585747215915568
