bins	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
M_sp_035	0.07431807342847031	0.12013585530059585	0.13510527751146947	0.2862376620519359	0.11774171602236326
M_sp_036	0.050452943229166075	0.08073029097952462	0.09037847349189479	0.18206221784790358	0.08152579424070827
M_sp_037	0.04214528807028604	0.06489640959926557	0.07294545122852342	0.14608878147352192	0.06832416702313088
M_sp_038	0.11071858907233945	0.14217936396367967	0.18363934990604336	0.3421732675397702	0.1546234203089811
M_sp_039	0.0352254125786293	0.0524600290323577	0.06558430193652003	0.12706649645331658	0.05730836413302722
M_sp_040	0.052978047244555744	0.08777298066904486	0.0997884342887188	0.1759985255052234	0.08435624622491117
M_sp_041	0.0725494731971988	0.0967061050240794	0.11609042922336019	0.22811196399655106	0.10001623520010094
M_sp_042	0.07194453391286455	0.06745361520032223	0.09154190584993467	0.1293841561775684	0.09356519961618608
M_sp_043	0.0802708960665841	0.07752305167546213	0.10432851979103666	0.139030410466325	0.10215307929605173
M_sp_044	0.1718342644621156	0.16510157327913508	0.22251937921875656	0.29390986845719125	0.22001751319143986
M_sp_045	0.0636478077981144	0.06104992194606994	0.08685630890553213	0.11469279689930945	0.08484097607827361
M_suomiense	0.05384351592816533	0.07787762837289053	0.08916253045753993	0.1753471708329573	0.08139319555996752
M_symbioticum	0.08022559207062327	0.11825259738967334	0.15933365233049138	0.27002654343660604	0.12223534654095612
M_tardum	0.07843956500052791	0.17690352317533595	0.19996373790808505	0.2975887165185479	0.10448098970753676
M_tarhaniae	0.11533887189510272	0.11615706395574774	0.14291625219836399	0.1919677097310028	0.1430685335262933
M_terrae	0.11056805927010588	0.1097635420307521	0.15076000754214627	0.21090132217978413	0.15508343580461947
M_terricola	0.07869982572708234	0.07899893856222366	0.1033674262693212	0.14647955624102424	0.10484317660117133
M_thiocyanatum	0.07379008742866512	0.10610400381467112	0.12450220097565445	0.25377684413242135	0.11202108669229956
M_thuringiense	0.11421337803667804	0.22398856700063893	0.2001208213814761	0.41727962417923026	0.1724453329980016
M_trifolii	0.1520861174702412	0.45339461339716997	0.39835798868139405	0.6824203301066397	0.2408912724328805
M_variabile	0.10625526630983582	0.1015682590926779	0.13912796670210206	0.19197129254177842	0.13683220049764366
M_zatmanii	0.06318917385258804	0.09409189865521832	0.11100751288585972	0.23005216065628725	0.10362212099428322
